Type,Price,Location,Baths,Area,Beds,Lat,Lng
Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2,31.3694884,74.1768412
Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2,31.3694884,74.1768412
House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,3,31.3694884,74.1768412
House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5,31.3694884,74.1768412
House,PKR70 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3,31.3694884,74.1768412
House,PKR1.9 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5,31.3694884,74.1768412
Lower Portion,PKR53 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2,31.3694884,74.1768412
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,13 Marla,3,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5,31.4676379,74.3807788
House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,1,31.4676379,74.3807788
House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,5 Marla,4,31.4676379,74.3807788
House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5,31.4676379,74.3807788
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5,31.4676379,74.3807788
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5,31.4676379,74.3807788
Room,PKR45 Thousand,"DHA Defence, Lahore, Punjab",1,2.2 Marla,1,31.4676379,74.3807788
House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
