Type,Price,Location,Baths,Area,Beds,Lat,Lng
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR60 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,1 Kanal,3,31.4292593,74.28688679999999
House,PKR1.75 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
House,PKR45 Thousand,"Samanabad, Lahore, Punjab",2,5 Marla,6,31.5335676,74.298797
House,PKR55 Thousand,"Johar Town, Lahore, Punjab",3,5 Marla,3,31.469693,74.27284610000001
Upper Portion,PKR60 Thousand,"TIP Housing Society, Lahore, Punjab",3,1 Kanal,3,31.3849627,74.2612154
House,PKR94 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR62 Thousand,"Wapda Town, Lahore, Punjab",4,5 Marla,3,31.4311985,74.26435819999999
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",4,12 Marla,4,31.4942473,74.3836719
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
Flat,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",3,5.3 Marla,2,31.4676379,74.3807788
Flat,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",2,5 Marla,2,31.4676379,74.3807788
House,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
Flat,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",3,5.8 Marla,2,31.4676379,74.3807788
Lower Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,10 Marla,2,31.4676379,74.3807788
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR1.25 Lakh,"Askari, Lahore, Punjab",5,16 Marla,4,31.4942473,74.3836719
House,PKR1.2 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5,31.3694884,74.1768412
Flat,PKR67 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
House,PKR70 Thousand,"Bahria Orchard, Lahore, Punjab",5,8 Marla,5,31.3181216,74.2111003
House,PKR1 Lakh,"Bahria Town, Lahore, Punjab",5,12 Marla,4,31.3694884,74.1768412
Flat,PKR70 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2,31.3694884,74.1768412
House,PKR1.25 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5,31.3694884,74.1768412
Flat,PKR24 Thousand,"Askari, Lahore, Punjab",2,5 Marla,2,31.4942473,74.3836719
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Lower Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6,31.4676379,74.3807788
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3,31.4676379,74.3807788
Lower Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2,31.4676379,74.3807788
Flat,PKR27 Thousand,"Formanites Housing Scheme, Lahore, Punjab",2,4 Marla,1,31.4453442,74.415922
Flat,PKR30 Thousand,"Formanites Housing Scheme, Lahore, Punjab",2,5 Marla,2,31.4453442,74.415922
Upper Portion,PKR72 Thousand,"State Life Housing Society, Lahore, Punjab",3,1 Kanal,3,31.4429184,74.4019965
House,PKR2 Lakh,"Rail Town (Canal City), Lahore, Punjab",6,12 Marla,5,31.4191919,74.17912299999999
Upper Portion,PKR80 Thousand,"NFC 1, Lahore, Punjab",4,2 Kanal,3,31.4159153,74.26928389999999
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.25 Lakh,"Cantt, Lahore, Punjab",5,2 Kanal,4,31.5196113,74.388925
House,PKR3.5 Lakh,"Cantt, Lahore, Punjab",6,1.6 Kanal,5,31.5196113,74.388925
Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR4.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR6.9 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6,31.4676379,74.3807788
House,PKR2.55 Lakh,"HBFC Housing Society, Lahore, Punjab",6,1 Kanal,5,31.4557579,74.41005870000001
Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Lower Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2,31.4676379,74.3807788
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
Lower Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
House,PKR2.55 Lakh,"HBFC Housing Society, Lahore, Punjab",6,1 Kanal,5,31.4557579,74.41005870000001
House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3,31.4676379,74.3807788
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR1.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.45 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Flat,PKR3 Lakh,"Gulberg, Lahore, Punjab",3,9.5 Marla,3,31.5164883,74.3499496
Flat,PKR3 Lakh,"Gulberg, Lahore, Punjab",3,8.9 Marla,3,31.5164883,74.3499496
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR3.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
House,PKR5.9 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5,31.4676379,74.3807788
House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5,31.3202919,74.3851379
House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5,31.3202919,74.3851379
House,PKR45 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,5 Marla,3,31.3202919,74.3851379
House,PKR75 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5,31.3202919,74.3851379
House,PKR75 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5,31.3202919,74.3851379
House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5,31.3202919,74.3851379
Upper Portion,PKR68 Thousand,"Sui Gas Housing Society, Lahore, Punjab",3,1 Kanal,3,31.3388255,74.2051202
Upper Portion,PKR68 Thousand,"HBFC Housing Society, Lahore, Punjab",3,1 Kanal,2,31.4557579,74.41005870000001
House,PKR63 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Upper Portion,PKR75 Thousand,"Allama Iqbal Town, Lahore, Punjab",3,1 Kanal,3,31.512412,74.2844714
Upper Portion,PKR62 Thousand,"NFC 1, Lahore, Punjab",4,1 Kanal,4,31.4159153,74.26928389999999
Upper Portion,PKR55 Thousand,"State Life Housing Society, Lahore, Punjab",2,10 Marla,3,31.4429184,74.4019965
House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,4,31.4676379,74.3807788
House,PKR48 Thousand,"NFC 1, Lahore, Punjab",3,5 Marla,3,31.4159153,74.26928389999999
Upper Portion,PKR62 Thousand,"NFC 1, Lahore, Punjab",4,1 Kanal,4,31.4159153,74.26928389999999
House,PKR60 Thousand,"State Life Housing Society, Lahore, Punjab",4,5 Marla,3,31.4429184,74.4019965
House,PKR82 Thousand,"Johar Town, Lahore, Punjab",5,8 Marla,4,31.469693,74.27284610000001
Upper Portion,PKR65 Thousand,"State Life Housing Society, Lahore, Punjab",3,1 Kanal,3,31.4429184,74.4019965
Upper Portion,PKR32 Thousand,"Canal Garden, Lahore, Punjab",3,6 Marla,2,31.3886132,74.17390569999999
Upper Portion,PKR55 Thousand,"Formanites Housing Scheme, Lahore, Punjab",3,12 Marla,3,31.4453442,74.415922
House,PKR1.48 Lakh,"Johar Town, Lahore, Punjab",6,12 Marla,5,31.469693,74.27284610000001
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR80 Thousand,"HBFC Housing Society, Lahore, Punjab",4,1 Kanal,3,31.4557579,74.41005870000001
House,PKR1.1 Lakh,"Paragon City, Lahore, Punjab",5,10 Marla,5,31.5296195,74.4554936
House,PKR2.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,1 Kanal,5,31.3388255,74.2051202
House,PKR2.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,1 Kanal,5,31.3388255,74.2051202
Upper Portion,PKR70 Thousand,"Sui Gas Housing Society, Lahore, Punjab",3,1 Kanal,2,31.3388255,74.2051202
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,4,31.4676379,74.3807788
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR1.75 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,4,31.4676379,74.3807788
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,10 Marla,2,31.4883017,74.26928389999999
Upper Portion,PKR45 Thousand,"Mustafa Town, Lahore, Punjab",3,12 Marla,3,31.4883017,74.26928389999999
Flat,PKR72 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
Lower Portion,PKR22 Thousand,"Mustafa Town, Lahore, Punjab",2,4 Marla,1,31.4883017,74.26928389999999
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Flat,PKR75 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
Upper Portion,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2,31.4639288,74.2170853
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,8 Marla,2,31.4883017,74.26928389999999
Upper Portion,PKR22 Thousand,"Mustafa Town, Lahore, Punjab",2,4 Marla,2,31.4883017,74.26928389999999
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Lower Portion,PKR22 Thousand,"Mustafa Town, Lahore, Punjab",2,4 Marla,1,31.4883017,74.26928389999999
House,PKR4.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Flat,PKR45 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1,31.5196113,74.388925
Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
Flat,PKR87 Thousand,"Askari, Lahore, Punjab",4,12 Marla,4,31.4942473,74.3836719
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Lower Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Flat,PKR24 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1,31.469693,74.27284610000001
Flat,PKR23.5 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1,31.469693,74.27284610000001
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2,31.4676379,74.3807788
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,8 Marla,2,31.4883017,74.26928389999999
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR60 Thousand,"Beacon House Society, Lahore, Punjab",6,1 Kanal,4,31.3623068,74.2193999
Upper Portion,PKR50 Thousand,"State Life Housing Society, Lahore, Punjab",2,10 Marla,2,31.4429184,74.4019965
Upper Portion,PKR60 Thousand,"Beacon House Society, Lahore, Punjab",3,1 Kanal,3,31.3623068,74.2193999
Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3,31.4676379,74.3807788
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",8,1 Kanal,7,31.4676379,74.3807788
House,PKR6 Lakh,"Airport Road, Lahore, Punjab",8,4 Kanal,7,31.5202806,74.4256343
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6,31.4676379,74.3807788
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2,31.4676379,74.3807788
Lower Portion,PKR26 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,1,31.5525146,74.3264869
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR1.3 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3,31.4676379,74.3807788
House,PKR1.6 Lakh,"LDA Avenue, Lahore, Punjab",7,1 Kanal,6,31.4153247,74.20912799999999
House,PKR62 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3,31.3694884,74.1768412
Lower Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2,31.3694884,74.1768412
House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,3,31.3694884,74.1768412
Lower Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2,31.3694884,74.1768412
Upper Portion,PKR45 Thousand,"LDA Avenue, Lahore, Punjab",2,10 Marla,2,31.4153247,74.20912799999999
House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",6,8 Marla,5,31.3694884,74.1768412
House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Lower Portion,PKR78 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,2,31.3694884,74.1768412
House,PKR35 Thousand,"Garrison Homes, Lahore, Punjab",-,4 Marla,3,31.55555859999999,74.4126156
House,PKR57 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR1.1 Lakh,"Jubilee Town, Lahore, Punjab",6,1 Kanal,5,31.5525146,74.3264869
House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3,31.3694884,74.1768412
Lower Portion,PKR48 Thousand,"LDA Avenue, Lahore, Punjab",2,10 Marla,2,31.4153247,74.20912799999999
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",5,5 Marla,4,31.4676379,74.3807788
House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Upper Portion,PKR99 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2,31.4676379,74.3807788
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR90 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR62 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3,31.3694884,74.1768412
Upper Portion,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2,31.4676379,74.3807788
Upper Portion,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2,31.4676379,74.3807788
House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4,31.4676379,74.3807788
Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR1.3 Lakh,"Abdalians Cooperative Housing Society, Lahore, Punjab",6,10 Marla,5,31.4555022,74.2685504
House,PKR1.8 Lakh,"Valencia Housing Society, Lahore, Punjab",6,1 Kanal,5,31.403247,74.25603570000001
House,PKR62 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3,31.3694884,74.1768412
Upper Portion,PKR95 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",5,1 Kanal,4,31.4562075,74.3015563
Lower Portion,PKR70 Thousand,"EME Society, Lahore, Punjab",4,1 Kanal,3,31.4391744,74.2105955
House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5,31.3694884,74.1768412
House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5,31.3694884,74.1768412
House,PKR2.2 Lakh,"Airline Housing Society, Lahore, Punjab",6,1 Kanal,6,31.4433937,74.2663499
House,PKR20 Thousand,"Jubilee Town, Lahore, Punjab",2,3 Marla,1,31.5525146,74.3264869
House,PKR1.9 Lakh,"Punjab University Employees Society, Lahore, Punjab",6,1 Kanal,6,31.4269467,74.24067560000002
Upper Portion,PKR75 Thousand,"Johar Town, Lahore, Punjab",4,1 Kanal,3,31.469693,74.27284610000001
House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3,31.4676379,74.3807788
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3,31.3694884,74.1768412
Upper Portion,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-,31.3181216,74.2111003
Upper Portion,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-,31.3181216,74.2111003
House,PKR1.95 Lakh,"Askari, Lahore, Punjab",5,17 Marla,5,31.4942473,74.3836719
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR55 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3,31.3181216,74.2111003
Lower Portion,PKR30 Thousand,"Chinar Bagh, Lahore, Punjab",3,10 Marla,3,31.3232557,74.240955
Room,PKR35 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1,31.4676379,74.3807788
Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",2,3.3 Marla,2,31.3694884,74.1768412
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3,31.3694884,74.1768412
House,PKR40 Thousand,"Formanites Housing Scheme, Lahore, Punjab",4,5 Marla,4,31.4453442,74.415922
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1,31.3694884,74.1768412
House,PKR1.6 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4,31.4942473,74.3836719
House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",5,5 Marla,3,31.3694884,74.1768412
Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,12 Marla,4,31.4942473,74.3836719
Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",2,2.3 Marla,2,31.3694884,74.1768412
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR23 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2,31.512412,74.2844714
Upper Portion,PKR45 Thousand,"Wapda Town, Lahore, Punjab",2,5 Marla,2,31.4311985,74.26435819999999
Upper Portion,PKR46 Thousand,"Wapda Town, Lahore, Punjab",3,10 Marla,3,31.4311985,74.26435819999999
House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2,31.4676379,74.3807788
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.3 Marla,1,31.3694884,74.1768412
House,PKR56 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR60 Thousand,"Paragon City, Lahore, Punjab",3,5 Marla,3,31.5296195,74.4554936
