Type,Price,Location,Baths,Area,Beds
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Flat,PKR66 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Flat,PKR3 Lakh,"Gulberg, Lahore, Punjab",3,9.5 Marla,3
Flat,PKR3 Lakh,"Gulberg, Lahore, Punjab",3,8.9 Marla,3
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR3.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR5.9 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR4 Lakh,"Garden Town, Lahore, Punjab",8,2 Kanal,7
House,PKR68 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
Flat,PKR1.55 Lakh,"DHA Defence, Lahore, Punjab",3,7.2 Marla,2
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR32 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR30 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR45 Thousand,"Mustafa Town, Lahore, Punjab",3,12 Marla,3
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR50 Thousand,"Rail Town (Canal City), Lahore, Punjab",4,12.5 Marla,4
Lower Portion,PKR25 Thousand,"Mustafa Town, Lahore, Punjab",2,5 Marla,1
Upper Portion,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR65 Thousand,"Park View City, Lahore, Punjab",4,5 Marla,3
House,PKR25 Thousand,"Kakezai Housing Society, Lahore, Punjab",2,10 Marla,2
House,PKR85 Thousand,"Iqbal Avenue, Lahore, Punjab",5,10 Marla,5
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR3 Lakh,"Johar Town, Lahore, Punjab",-,1 Kanal,-
House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,4
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR1 Lakh,"Eden, Lahore, Punjab",5,10 Marla,4
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",-,10 Marla,4
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR1 Lakh,"NFC 1, Lahore, Punjab",2,1 Kanal,2
House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR70 Thousand,"Sui Gas Housing Society, Lahore, Punjab",3,1 Kanal,3
House,PKR2.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,1 Kanal,5
House,PKR2.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR70 Thousand,"Sui Gas Housing Society, Lahore, Punjab",3,1 Kanal,2
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR1.25 Lakh,"Paragon City, Lahore, Punjab",5,10 Marla,5
House,PKR1.15 Lakh,"Paragon City, Lahore, Punjab",5,10 Marla,5
House,PKR60 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
House,PKR55 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
House,PKR65 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
House,PKR50 Thousand,"Canal Garden, Lahore, Punjab",6,5 Marla,5
House,PKR1.55 Lakh,"Askari, Lahore, Punjab",4,1 Kanal,4
Upper Portion,PKR65 Thousand,"Airport Road, Lahore, Punjab",3,12 Marla,2
House,PKR65 Thousand,"Johar Town, Lahore, Punjab",4,5 Marla,3
Lower Portion,PKR30 Thousand,"Defence Road, Lahore, Punjab",3,5 Marla,2
Upper Portion,PKR85 Thousand,"Johar Town, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR60 Thousand,"Johar Town, Lahore, Punjab",2,10 Marla,3
Upper Portion,PKR85 Thousand,"Johar Town, Lahore, Punjab",4,1 Kanal,3
House,PKR1 Lakh,"Faisal Town, Lahore, Punjab",5,10 Marla,4
House,PKR70 Thousand,"Military Accounts Housing Society, Lahore, Punjab",5,6 Marla,5
Flat,PKR16 Thousand,"Johar Town, Lahore, Punjab",1,1.4 Marla,1
Room,PKR20 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",1,10 Marla,1
Lower Portion,PKR25 Thousand,"Military Accounts Housing Society, Lahore, Punjab",1,4 Marla,1
House,PKR45 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,4 Marla,3
Flat,PKR48 Thousand,"Bahria Town, Lahore, Punjab",1,2.5 Marla,1
Upper Portion,PKR40 Thousand,"Lahore Canal Bank Cooperative Housing Society, Lahore, Punjab",3,16 Marla,3
Lower Portion,PKR60 Thousand,"Lahore Canal Bank Cooperative Housing Society, Lahore, Punjab",3,16 Marla,3
House,PKR75 Thousand,"Lahore Canal Bank Cooperative Housing Society, Lahore, Punjab",4,5 Marla,4
Lower Portion,PKR1.25 Lakh,"Valencia Housing Society, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR25 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,4 Marla,2
Upper Portion,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR15 Thousand,"Defence Road, Lahore, Punjab",1,4 Marla,2
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,8 Marla,2
Upper Portion,PKR60 Thousand,"Johar Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR22 Thousand,"Mustafa Town, Lahore, Punjab",2,4 Marla,2
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR22 Thousand,"Mustafa Town, Lahore, Punjab",2,4 Marla,1
House,PKR4.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",6,1.2 Kanal,2
Lower Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
House,PKR1 Lakh,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Flat,PKR45 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1
Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR55 Thousand,"Divine Gardens, Lahore, Punjab",3,10 Marla,3
Flat,PKR87 Thousand,"Askari, Lahore, Punjab",4,12 Marla,4
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR69 Thousand,"DHA Defence, Lahore, Punjab",5,5 Marla,4
Lower Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR38 Thousand,"Defence Road, Lahore, Punjab",2,10 Marla,2
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.35 Lakh,"Johar Town, Lahore, Punjab",5,12 Marla,4
Upper Portion,PKR40 Thousand,"Al-Amin Housing Society, Lahore, Punjab",3,10 Marla,2
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Flat,PKR24 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
Flat,PKR23.5 Thousand,"Johar Town, Lahore, Punjab",1,1.3 Marla,1
House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
House,PKR43 Thousand,"Central Park Housing Scheme, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,8 Marla,2
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3.2 Lakh,"DHA Defence, Lahore, Punjab",8,1 Kanal,7
Upper Portion,PKR55 Thousand,"Park View City, Lahore, Punjab",3,10 Marla,3
House,PKR60 Thousand,"Beacon House Society, Lahore, Punjab",6,1 Kanal,4
Upper Portion,PKR50 Thousand,"State Life Housing Society, Lahore, Punjab",2,10 Marla,2
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,5
Upper Portion,PKR60 Thousand,"Beacon House Society, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",8,1 Kanal,7
House,PKR6 Lakh,"Airport Road, Lahore, Punjab",8,4 Kanal,7
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",4,13 Marla,4
Flat,PKR82 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR55 Thousand,"Park View City, Lahore, Punjab",4,7 Marla,4
Upper Portion,PKR80 Thousand,"Bahria Town, Lahore, Punjab",3,7 Marla,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR75 Thousand,"Bahria Town, Lahore, Punjab",5,8 Marla,4
Flat,PKR25 Thousand,"Bahria Town, Lahore, Punjab",2,2.3 Marla,2
Lower Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR40 Thousand,"Mustafa Town, Lahore, Punjab",2,8 Marla,2
House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,8 Marla,2
Lower Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,2
Flat,PKR65 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
Flat,PKR63 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR1.2 Lakh,"Paragon City, Lahore, Punjab",6,10 Marla,5
Room,PKR26 Thousand,"Johar Town, Lahore, Punjab",1,6 Marla,1
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.35 Lakh,"Johar Town, Lahore, Punjab",5,12 Marla,4
Upper Portion,PKR1.59 Lakh,"Central Park Housing Scheme, Lahore, Punjab",4,1 Kanal,4
Upper Portion,PKR65 Thousand,"IEP Engineers Town, Lahore, Punjab",2,2 Kanal,2
House,PKR1.9 Lakh,"Sui Gas Housing Society, Lahore, Punjab",8,1 Kanal,7
Upper Portion,PKR30 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
Flat,PKR68 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
Flat,PKR72 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
Lower Portion,PKR44 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,12 Marla,3
Lower Portion,PKR25 Thousand,"Eden, Lahore, Punjab",3,5 Marla,2
Upper Portion,PKR42 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR95 Thousand,"Paragon City, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
House,PKR88 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
House,PKR1.68 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
Lower Portion,PKR42 Thousand,"Johar Town, Lahore, Punjab",-,8 Marla,-
Lower Portion,PKR40 Thousand,"IEP Engineers Town, Lahore, Punjab",3,9 Marla,2
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
Flat,PKR35 Thousand,"Mustafa Town, Lahore, Punjab",2,4 Marla,2
House,PKR1.55 Lakh,"Model Town, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR12 Thousand,"Mehar Fayaz Colony, Lahore, Punjab",1,3 Marla,1
House,PKR45 Thousand,"Super Town, Lahore, Punjab",3,5 Marla,3
House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
Room,PKR7 Thousand,"Revenue Society, Lahore, Punjab",1,2.2 Marla,1
Lower Portion,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
Room,PKR10 Thousand,"Eden, Lahore, Punjab",1,0.5 Marla,1
Room,PKR14.5 Thousand,"Model Town, Lahore, Punjab",1,0.6 Marla,1
Upper Portion,PKR42 Thousand,"Wapda Town, Lahore, Punjab",2,10 Marla,3
House,PKR35 Thousand,"Bahria Orchard, Lahore, Punjab",3,7 Marla,3
Upper Portion,PKR95 Thousand,"Johar Town, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR39 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
Room,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
Flat,PKR34 Thousand,"Gulberg, Lahore, Punjab",1,2 Marla,2
Room,PKR12 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,1 Marla,1
Upper Portion,PKR19 Thousand,"Eden, Lahore, Punjab",-,3 Marla,-
Lower Portion,PKR22 Thousand,"Khayaban-e-Quaid, Lahore, Punjab",2,5 Marla,2
House,PKR20 Thousand,"Cantt, Lahore, Punjab",2,3 Marla,2
House,PKR42 Thousand,"Ferozepur Road, Lahore, Punjab",3,3 Marla,3
Lower Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
House,PKR1.6 Lakh,"EME Society, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR15 Thousand,"Nishat Colony, Lahore, Punjab",1,5 Marla,1
Room,PKR20 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,1.8 Marla,1
Flat,PKR38 Thousand,"Bahria Town, Lahore, Punjab",1,4 Marla,1
Flat,PKR25 Thousand,"Upper Mall, Lahore, Punjab",1,5 Marla,1
Upper Portion,PKR19 Thousand,"Sant Nagar, Lahore, Punjab",1,2 Marla,2
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Room,PKR15 Thousand,"Garden Town, Lahore, Punjab",1,1 Marla,1
Flat,PKR25 Thousand,"Bahria Town, Lahore, Punjab",1,2.7 Marla,1
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",-,1 Kanal,3
House,PKR65 Thousand,"Park View City, Lahore, Punjab",4,5 Marla,4
Upper Portion,PKR16 Thousand,"Kamahan Road, Lahore, Punjab",1,3 Marla,1
House,PKR13 Thousand,"Saggian Wala Bypass Road, Lahore, Punjab",1,4 Marla,2
House,PKR28 Thousand,"Bahria Nasheman, Lahore, Punjab",1,6 Marla,2
House,PKR35 Thousand,"GT Road, Lahore, Punjab",4,4 Marla,3
Lower Portion,PKR65 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,1 Kanal,3
Room,PKR60 Thousand,"Allama Iqbal Town, Lahore, Punjab",-,15 Marla,12
Lower Portion,PKR27 Thousand,"Wapda Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR38 Thousand,"Defence Road, Lahore, Punjab",2,10 Marla,2
House,PKR27 Thousand,"Judicial Colony, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR55 Thousand,"Main Canal Bank Road, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR33 Thousand,"Canal Bank Housing Scheme, Lahore, Punjab",3,12 Marla,3
Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR40 Thousand,"LDA Avenue, Lahore, Punjab",3,10 Marla,3
Lower Portion,PKR40 Thousand,"EME Society, Lahore, Punjab",3,10 Marla,3
House,PKR2.25 Lakh,"Garden Town, Lahore, Punjab",5,1 Kanal,4
House,PKR15 Lakh,"Gulberg, Lahore, Punjab",6,4 Kanal,7
House,PKR9.95 Lakh,"Gulberg, Lahore, Punjab",-,3 Kanal,-
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR20 Thousand,"Jubilee Town, Lahore, Punjab",2,3 Marla,1
Lower Portion,PKR22 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,5 Marla,2
House,PKR1.9 Lakh,"Punjab University Employees Society, Lahore, Punjab",6,1 Kanal,6
Upper Portion,PKR75 Thousand,"Johar Town, Lahore, Punjab",4,1 Kanal,3
House,PKR35 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,3 Marla,3
House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
House,PKR1.4 Lakh,"Faisal Town, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR30 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
House,PKR2.1 Lakh,"Askari, Lahore, Punjab",5,17 Marla,5
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
Upper Portion,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",-,10 Marla,-
House,PKR1.95 Lakh,"Askari, Lahore, Punjab",5,17 Marla,5
House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,4
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR55 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
Lower Portion,PKR22 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,5 Marla,2
Lower Portion,PKR30 Thousand,"Chinar Bagh, Lahore, Punjab",3,10 Marla,3
Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",1,2.5 Marla,1
House,PKR1.2 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
Room,PKR35 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",2,3.3 Marla,2
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR62 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.65 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Lower Portion,PKR37 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Lower Portion,PKR42 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
House,PKR80 Thousand,"Canal View, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR40 Thousand,"Cantt, Lahore, Punjab",2,12 Marla,2
House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
Upper Portion,PKR55 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR35 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR60 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,16 Marla,2
Flat,PKR32 Thousand,"Allama Iqbal Town, Lahore, Punjab",3,5 Marla,3
Lower Portion,PKR45 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,7 Marla,2
Lower Portion,PKR55 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
House,PKR50 Thousand,"Park View City, Lahore, Punjab",4,5 Marla,4
House,PKR55 Thousand,"Park View City, Lahore, Punjab",4,5 Marla,4
House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Lower Portion,PKR22 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,5 Marla,2
House,PKR63 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR20 Thousand,"Eden, Lahore, Punjab",-,3 Marla,-
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR68 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR2.15 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
Flat,PKR40 Thousand,"Bahria Town, Lahore, Punjab",1,2.3 Marla,1
Upper Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR1.65 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
Upper Portion,PKR1 Lakh,"Model Town, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR52 Thousand,"Eden, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1 Lakh,"Nawab Town, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR90 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR1.27 Lakh,"Askari, Lahore, Punjab",5,12 Marla,4
House,PKR1 Lakh,"Faisal Town, Lahore, Punjab",6,12 Marla,5
Lower Portion,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR60 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,1 Kanal,3
House,PKR1.75 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR45 Thousand,"Samanabad, Lahore, Punjab",2,5 Marla,6
House,PKR55 Thousand,"Johar Town, Lahore, Punjab",3,5 Marla,3
Upper Portion,PKR60 Thousand,"TIP Housing Society, Lahore, Punjab",3,1 Kanal,3
House,PKR94 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR62 Thousand,"Wapda Town, Lahore, Punjab",4,5 Marla,3
House,PKR1.1 Lakh,"Askari, Lahore, Punjab",4,12 Marla,4
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR1.15 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
