Type,Price,Location,Baths,Area,Beds
House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,1
House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,5 Marla,4
House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,5
Room,PKR45 Thousand,"DHA Defence, Lahore, Punjab",1,2.2 Marla,1
House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
Upper Portion,PKR2 Lakh,"DHA Defence, Lahore, Punjab",2,2 Kanal,3
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR4.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",6,2 Kanal,6
House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",5,1.5 Kanal,5
House,PKR45 Thousand,"DHA Defence, Lahore, Punjab",1,3 Marla,1
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
Upper Portion,PKR55 Thousand,"Park View City, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR15 Thousand,"Al Rehman Garden, Lahore, Punjab",3,3 Marla,2
House,PKR22 Thousand,"Al Rehman Garden, Lahore, Punjab",3,4 Marla,1
House,PKR25 Thousand,"Al Rehman Garden, Lahore, Punjab",3,5 Marla,2
Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1
Flat,PKR23 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,3 Marla,2
House,PKR45 Thousand,"Al Rehman Garden, Lahore, Punjab",5,6 Marla,5
House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
House,PKR1.3 Lakh,"Park View City, Lahore, Punjab",5,10 Marla,5
Upper Portion,PKR40 Thousand,"Beacon House Society, Lahore, Punjab",3,10 Marla,2
House,PKR45 Thousand,"Al Rehman Garden, Lahore, Punjab",6,6 Marla,5
House,PKR1.1 Lakh,"Eden, Lahore, Punjab",4,12 Marla,4
Upper Portion,PKR25 Thousand,"Sultan Town, Lahore, Punjab",2,3 Marla,2
House,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,5 Marla,3
House,PKR1.85 Lakh,"Wapda Town, Lahore, Punjab",5,1 Kanal,5
Lower Portion,PKR38 Thousand,"Cavalry Ground, Lahore, Punjab",1,7 Marla,1
Upper Portion,PKR40 Thousand,"Beacon House Society, Lahore, Punjab",4,10 Marla,3
Upper Portion,PKR60 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR45 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",4,10 Marla,3
Upper Portion,PKR65 Thousand,"Cavalry Ground, Lahore, Punjab",3,1 Kanal,3
House,PKR1.32 Lakh,"Divine Gardens, Lahore, Punjab",6,10 Marla,5
Lower Portion,PKR70 Thousand,"Jail Road, Lahore, Punjab",2,12 Marla,2
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,3
Upper Portion,PKR47 Thousand,"Paragon City, Lahore, Punjab",2,10 Marla,2
House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR2 Lakh,"Airport Road, Lahore, Punjab",5,10 Marla,4
House,PKR1.65 Lakh,"Ring Road, Lahore, Punjab",5,10 Marla,4
House,PKR1.5 Lakh,"Airport Road, Lahore, Punjab",5,10 Marla,4
Lower Portion,PKR1.25 Lakh,"Ring Road, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR75 Thousand,"Jail Road, Lahore, Punjab",4,1 Kanal,3
House,PKR1.2 Lakh,"Park View City, Lahore, Punjab",-,10 Marla,-
Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",2,3.1 Marla,2
Flat,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,1.8 Marla,1
