Lat,Lng
31.4311985,74.26435819999999
31.456696,74.258648
31.4431825,74.28688679999999
31.4474685,74.30807089999999
31.4432618,74.2597483
31.3694884,74.1768412
31.3689001,74.2325105
31.42053739999999,74.28395309999999
31.431384,74.3484833
31.4676379,74.3807788
31.4527726,74.2025244
31.5948421,74.4540282
31.3623068,74.2193999
31.4639288,74.2170853
31.4605393,74.2421428
31.5004073,74.36607839999999
31.4328323,74.2487451
31.5032221,74.41665480000002
31.5388622,74.3357285
31.5296195,74.4554936
31.5202806,74.4256343
31.5388036,74.2648567
31.5196113,74.388925
31.3190793,74.4034624
31.5616533,74.3369345
31.4804642,74.3239342
31.4990163,74.4192199
31.3837953,74.2756066
31.3388255,74.2051202
31.5164883,74.3499496
31.4269467,74.24067560000002
31.4942473,74.3836719
31.3181216,74.2111003
31.3202919,74.3851379
31.5603503,74.4209234
31.469693,74.27284610000001
31.4448646,74.27808550000002
31.4841409,74.2777188
31.4760114,74.3044879
31.403247,74.25603570000001
31.4555022,74.2685504
31.4562075,74.3015563
31.5525146,74.3264869
31.4781106,74.2546136
31.3886132,74.17390569999999
31.396232,74.2319637
31.4153247,74.20912799999999
31.4632019,74.3217207
31.512412,74.2844714
31.5651475,74.3297094
31.5572673,74.3394299
31.5622136,74.4137129
31.4865895,74.40877560000001
31.5017412,74.25718100000002
31.4065037,74.29422079999999
31.4082952,74.2751517
31.4292593,74.28688679999999
31.5208886,74.2700521
31.5203696,74.35874729999999
31.551378,74.39539979999999
31.4230055,74.2370076
31.4761573,74.2990459
31.5906928,74.4403969
31.4391744,74.2105955
31.5303194,74.32978659999999
31.5777864,74.4679495
31.5802017,74.4481662
31.5840788,74.4738108
31.4157845,74.36701579999999
31.5643252,74.298621
31.4858849,74.2627904
31.5944836,74.50164939999999
31.4075498,74.360282
31.4597379,74.3748754
31.4159153,74.26928389999999
31.4196459,74.2546136
31.4497229,74.289087
31.3910577,74.3602136
31.4429184,74.4019965
31.5193603,74.3228206
31.3776311,74.3763319
31.37045669999999,74.239942
31.42454639999999,74.3550817
31.5469071,74.4041953
31.51108799999999,74.3219132
31.5442078,74.3501562
31.3669851,74.2678169
31.4071838,74.1445487
31.3437498,74.14673379999999
31.4523212,74.2487451
31.4504213,74.2981226
31.4278172,74.1922515
31.479745,74.415463
31.42424299999999,74.2524129
31.4041362,74.2142641
31.5734116,74.415922
31.4581407,74.4413685
31.5549053,74.4231202
31.55555859999999,74.4126156
31.515509,74.3191314
31.3582862,74.2354641
31.5611865,74.4071271
31.4191919,74.17912299999999
31.4183615,74.281448
31.5823839,74.4657515
31.44816,74.25718100000002
31.424639,74.1918846
31.33785499999999,74.38784439999999
31.5204202,74.4598899
31.571952,74.4041953
31.4846973,74.4104252
31.5769754,74.40822639999999
31.5377616,74.3308864
31.576079,74.42618209999999
31.4843016,74.3639904
31.4930181,74.4045618
31.4883017,74.26928389999999
